target_repo,attacks
EastSun5566/hackdesk,101
kuyoonjo/tauri-plugin-mqtt,101
kuyoonjo/tauri-plugin-udp,101
OneKeePass/desktop,101
hiql/passwords-app,101
enassi/enassi,101
zelytra/BetterFleet,101
ahkohd/tauri-macos-spotlight-example,101
MatsDK/TauRPC,101
nomandhoni-cs/blink-eye,101
Akylas/mbview-rs,101
kimlimjustin/xplorer,101
typed-sigterm/deno-in-tauri,101
upvpn/upvpn-app,101
shixinhuang99/czkawka-tauri,101
ZaneH/metronome,101
nashaofu/shell360,101
TunnlTo/desktop-app,101
ChurchTao/Lanaya,101
ahkohd/tauri-macos-menubar-app-example,101
Taiizor/tauri-plugin-cache,101
probablykasper/mr-tagger,101
Ironclad/rivet,101
aptabase/tauri-plugin-aptabase,101
ayangweb/tauri-plugin-fs-pro,101
harana/search,101
ahkohd/tauri-nspanel,101
open-goal/launcher,101
codeforreal1/compressO,101
windht/watcher,101
impierce/identity-wallet,101
spacedriveapp/spacedrive,101
RoseBlume/Bishop-Tauri-Template,101
maximegris/angular-tauri,101
dunkbing/typeview,101
ahqsoftwares/tauri-ahq-store,101
thewh1teagle/RustDuck,101
tywil04/parchment,101
rajatkulkarni95/yack,101
clash-verge-rev/clash-verge-rev,101
ilyaly/ascapes-mixer,101
mdSilo/mdSilo-app,101
mrjackwills/obliqoro,101
tauri-apps/window-vibrancy,101
Recordscript/recordscript,101
dedSyn4ps3/tauri-mobile-test,101
cablehead/stacks,101
SpikeHD/Dorion,101
Muhammed-Rahif/Notpad,101
exphert/TauriCS,101
SeakMengs/WindowPet,101
HuakunShen/devclean,101
matthias-wright/ghorbu-wallet,101
Gitification-App/gitification,101
MnlPhlp/tauri-plugin-blec,101
JonasKruckenberg/tauri-sycamore-template,101
geek-fun/dockit,101
l1xnan/duckling,101
Gnarus-G/mynd,101
idootop/MagicMirror,101
SlimeVR/SlimeVR-Server,101
Orbitale/Compotes,101
dannysmith/tauri-template,101
ku9nov/faynoSync,101
naaive/orange,101
alexqqqqqq777/tauri-plugin-dragout,101
bewcloud/bewcloud-desktop,101
Rabbit-Company/CryptoBal-Desktop,101
zxh3/kianalol,101
mjoblin/punytunes,101
Web3-Builders-Alliance/soda,101
fuyoo/bs-redis-desktop-client,101
elibroftw/modern-desktop-app-template,101
thewh1teagle/mobslide,101
AlexProgrammerDE/SoulFireClient,101
kunkunsh/kkrpc,101
c2r0b/tauri-plugin-context-menu,101
vicanso/cyberapi,101
hiltontj/solars,101
tauri-apps/create-tauri-app,101
dewy01/Zenith,101
iohzrd/identia,101
persiliao/axios-tauri-api-adapter,101
Synaptrix/ChatGPT-Desktop,101
ow-mods/ow-mod-man,101
0-don/clippy,101
samirdjelal/bidirectional,101
dubisdev/key-on-screen,101
nhexirc/nhex,101
billyjacoby/browsernaut,101
TheBlindM/T-Shell,101
openscopeproject/TrguiNG,101
zeet2020/wallpaper-changer-tauri,101
h8moss/progressive,101
pwltr/tauthy,101
JonasKruckenberg/tauri-plugin-graphql,101
BTMuli/TeyvatGuide,101
marc2332/tauri-deno-starter,101
colinlienard/gitlight,101
rome-user/tauri-clojurescript-template,101
lzdyes/douyin-downloader,101
probablykasper/remind-me-again,101
Kesomannen/gale,101
jellyfin/jellyfin-vue,101
freethinkel/tauri-nspopover-plugin,101
ferreira-tb/tauri-plugin-prevent-default,101
franciscoBSalgueiro/en-croissant,101
awkj/stockman,101
lesterhnu/clipboard,101
hrzlgnm/mdns-browser,101
breadthe/sd-buddy,101
KilleenCode/tauri-update-cloudflare,101
s00d/tauri-plugin-serialplugin,101
Charlie-XIAO/tauri-plugin-desktop-underlay,101
pilgrimlyieu/Focust,101
hiql/get-unique-id-app,101
thewh1teagle/lingo,101
smokingplaya/tauri-plugin-drpc,101
kr5hn4/tranzit,101
sollambert/rust-full-stack-with-auth-template,101
